n=80000, #threads=3, mono_threaded=1.655494034s, 3_threaded=217.168012ms, ratio=0.131180
n=80000, #threads=4, mono_threaded=1.655494034s, 4_threaded=153.845672ms, ratio=0.092930
n=80000, #threads=5, mono_threaded=1.655494034s, 5_threaded=132.95745ms, ratio=0.080313
n=80000, #threads=6, mono_threaded=1.655494034s, 6_threaded=122.713952ms, ratio=0.074125
n=80000, #threads=7, mono_threaded=1.655494034s, 7_threaded=122.84275ms, ratio=0.074203
n=80000, #threads=8, mono_threaded=1.655494034s, 8_threaded=128.590122ms, ratio=0.077675
n=80000, #threads=9, mono_threaded=1.655494034s, 9_threaded=143.410225ms, ratio=0.086627
n=80000, #threads=10, mono_threaded=1.655494034s, 10_threaded=152.398983ms, ratio=0.092056
n=80000, #threads=11, mono_threaded=1.655494034s, 11_threaded=160.685675ms, ratio=0.097062
n=80000, #threads=12, mono_threaded=1.655494034s, 12_threaded=169.101108ms, ratio=0.102145
n=80000, #threads=13, mono_threaded=1.655494034s, 13_threaded=180.28617ms, ratio=0.108902
n=80000, #threads=14, mono_threaded=1.655494034s, 14_threaded=191.628233ms, ratio=0.115753
n=80000, #threads=15, mono_threaded=1.655494034s, 15_threaded=200.823831ms, ratio=0.121307
n=80000, #threads=16, mono_threaded=1.655494034s, 16_threaded=205.735869ms, ratio=0.124275
n=85000, #threads=2, mono_threaded=1.89391982s, 2_threaded=480.332487ms, ratio=0.253618
n=85000, #threads=3, mono_threaded=1.89391982s, 3_threaded=244.956146ms, ratio=0.129338
n=85000, #threads=4, mono_threaded=1.89391982s, 4_threaded=172.786454ms, ratio=0.091232
n=85000, #threads=5, mono_threaded=1.89391982s, 5_threaded=149.430766ms, ratio=0.078900
n=85000, #threads=6, mono_threaded=1.89391982s, 6_threaded=139.516635ms, ratio=0.073666
n=85000, #threads=7, mono_threaded=1.89391982s, 7_threaded=137.954504ms, ratio=0.072841
n=85000, #threads=8, mono_threaded=1.89391982s, 8_threaded=141.814712ms, ratio=0.074879
n=85000, #threads=9, mono_threaded=1.89391982s, 9_threaded=158.871084ms, ratio=0.083885
n=85000, #threads=10, mono_threaded=1.89391982s, 10_threaded=168.509758ms, ratio=0.088974
n=85000, #threads=11, mono_threaded=1.89391982s, 11_threaded=180.149124ms, ratio=0.095120
n=85000, #threads=12, mono_threaded=1.89391982s, 12_threaded=189.061656ms, ratio=0.099826
n=85000, #threads=13, mono_threaded=1.89391982s, 13_threaded=200.243127ms, ratio=0.105729
